episode,clip_number,youtube_id,start,end,topics
22,2,3Y-0TUj1amk,422,584,Dior| Photograph| England
22,3,3Y-0TUj1amk,692,880,Planet| Universe| Soul| Charger
22,4,3Y-0TUj1amk,1048,1212,Constellations| Insomnia| Candles| Polaroid Cameras
22,5,3Y-0TUj1amk,1297,1417,Freestyling About the Art
23,1,JeRZWJ7NMGU,49,215,Highlighter| Plant| Candle
23,2,JeRZWJ7NMGU,377,521,Sigma Rho Upsilon| Drugs & Drinking| Sisters| Family| & Happiness
23,3,JeRZWJ7NMGU,609,789,Love| Plug| Clock
23,4,JeRZWJ7NMGU,930,1084,Smoke| Vibe| Dope
24,1,ZC6kl6ohAjo,54,240,Blanket| Carpenter| Ferris Wheel
24,2,ZC6kl6ohAjo,315,520,Money| Chess| Music
24,3,ZC6kl6ohAjo,637,802,Bagel|Yankees| Saxaphone
24,4,ZC6kl6ohAjo,880,1024,Beatbox| Animals| Colors
25,1,1kN6LAf_7eg,94,303,Cookie| Car| YouTube
25,2,1kN6LAf_7eg,412,598,My Mom| My Dad| Myself
25,3,1kN6LAf_7eg,697,869,Lights| Apple Watch| Tapestry
25,4,1kN6LAf_7eg,976,1155,Albania| Freddy| Homeeless
26,1,U6dbmuCfdyk,77,276,Pineapple| Birthday| City
26,2,U6dbmuCfdyk,397,563,Study| Math| Rap
26,99,U6dbmuCfdyk,618,749,NordVPN Advertisment
26,3,U6dbmuCfdyk,858,1049,Book| Spirituality| Meditation
26,4,U6dbmuCfdyk,1244,1432,The Outdoors| Lorries| Eyebrows
27,1,dlnQOB15Sq8,53,304,Waterbottles| The Movies| Computers
27,2,dlnQOB15Sq8,475,672,Chocolate| Alcohol| Friends
27,3,dlnQOB15Sq8,756,937,Money| Mindset| Success
27,4,dlnQOB15Sq8,1036,1255,Art Freestyle
28,1,ZOhE4fUduUU,72,280,Mashmallows| Puppies| Books
28,2,ZOhE4fUduUU,408,569,McDonalds| Pokemon| Bubble Gum
28,3,ZOhE4fUduUU,743,947,PlayStation| Phone| Sleep
28,4,ZOhE4fUduUU,1044,1188,Chair| Camera| Glasses
29,1,2JHSSISCVww,92,292,Cable| Background| Olive
29,2,2JHSSISCVww,427,566,Dice| Boxes| Papers
29,3,2JHSSISCVww,739,945,Freestyle about their interraction
30,1,vtjdWxFcOc4,92,281,Cocaine| Alcohol| Women
30,2,vtjdWxFcOc4,450,578,Ball| 2K| Snow
30,3,vtjdWxFcOc4,632,796,Frisbee| Jello| Green| Orange| Marmalade
31,1,fP4SftKI4LQ,100,266,Imperfect| Admire| Life
31,2,fP4SftKI4LQ,375,571,THC| Milk| Chain
31,3,fP4SftKI4LQ,662,805,Awesome| Wonderful| & Great| Warm| Plushie
32,1,Z3FjhBuFKyM,9,147,Bammer| Luna| Lisa| Norway (w/ Marcus Veltri)
32,2,Z3FjhBuFKyM,242,338,Chicken Goujon| Vodka| Lipstick (w/ Marcus Veltri)
32,3,Z3FjhBuFKyM,403,480,Off the Top with Marcus Veltri
32,4,Z3FjhBuFKyM,614,770,Cocaine| Substance Abuse| Alcohol| Depression (w/ Marcus Veltri)
32,5,Z3FjhBuFKyM,865,983,Interstellar| Library| Continuum (w/ Marcus Veltri)
32,6,Z3FjhBuFKyM,1058,1202,Diction| Football| PS5  (w/ Marcus Veltri)
32,7,t_JrcAOfAp4,47,145,Off the Top with Marcus Veltri 1
32,8,t_JrcAOfAp4,288,423,Yeti| Pickle| Guitar (w Marcus Veltri)
32,9,t_JrcAOfAp4,503,631,Book| Piano| Hat (w Marcus Veltri)
32,10,t_JrcAOfAp4,725,836,Guitar| Star Wars| Black Hole (w Marcus Veltri)
32,11,t_JrcAOfAp4,910,1009,Off the Top with Marcus Veltri 2
33,1,p-GYLYqpTP8,61,243,Polo| Airplane| Mower
33,2,p-GYLYqpTP8,337,496,Art| Cell Phone| Thoughts
33,3,p-GYLYqpTP8,576,1315,Roar| Dive| Run (they draw Harry)
34,1,PPS8RLQkw04,65,220,King| Tiger| Clout
34,2,PPS8RLQkw04,352,539,Cauliflower| Ostentatious| Penguin
34,3,PPS8RLQkw04,632,793,Hot Pocket| Chair & Desk| Sunset
35,1,YPLX5YpSMfI,84,270,Halifax| Chair| Mango
35,2,YPLX5YpSMfI,352,520,Elephant| Scissors| Facemask
35,3,YPLX5YpSMfI,623,791,Pineapple| Wall| Blue
36,1,QaD5-e6hjmY,90,256,Panini| Blunt| Orange| Puppy
36,2,QaD5-e6hjmY,333,525,Dog| Hair| Books
36,3,QaD5-e6hjmY,704,882,Pasta| Brown| Blue| Necklace
37,1,1XZJKKNopEw,82,267,Money| Fame| Clout| Diamonds| Astronaut| Juice
37,2,1XZJKKNopEw,401,635,Aliens| Math| Bottle
37,99,1XZJKKNopEw,698,777,NordVPN Advertisment
37,3,1XZJKKNopEw,842,1046,UK| Education| Unrequited Love
38,1,eStSbs0PklY,75,242,Pepperoni| Dimension| ZaZa
38,2,eStSbs0PklY,314,454,Dragon| Minaj| Lemonade
38,99,eStSbs0PklY,519,603,Fiverr Advertisment
38,3,eStSbs0PklY,630,829,Blue| Basketball| Curry| Chocolate
39,1,dkcnYy_VjRc,71,244,Astrology| Womb| Feet
39,2,dkcnYy_VjRc,341,511,Ostrich| Cantaloupe| Superior
39,3,dkcnYy_VjRc,665,914,Yoga Ball| Cake| A Child
40,1,4dMm3q1rldE,140,322,Cartoon| Titan| Death
40,2,4dMm3q1rldE,464,602,Stereotype| Pterodactyl| Explore
40,3,4dMm3q1rldE,724,878,Peter| Meat| White
41,1,25ceuw4CuK8,91,317,Graduation| Cabinet| Vase
41,2,25ceuw4CuK8,442,628,Ice| Octopus| Moon| Photo| Bong
41,3,25ceuw4CuK8,713,871,Condom| Monkey| Chode
42,1,wy6qazFc2FQ,81,301,Candle| Xylophone| Catastrophe
42,2,wy6qazFc2FQ,445,650,Noodle| Keyboard| Chapstick| Leucistic
42,3,wy6qazFc2FQ,751,971,Museum| Sublet| Citizenship
43,1,oXI3ysg3s3s,68,243,Dumpling| Giraffe| Surge
43,2,oXI3ysg3s3s,331,516,Spectacular| Objectifying| Inspirational
43,3,oXI3ysg3s3s,603,750,Isosceles| Crown| Venn Diagram
44,1,UlIzq76NZJA,109,307,Linguine| Beans| Sombrero
44,2,UlIzq76NZJA,395,622,Fire Hydrant| Dragon| Fuzzy
44,3,UlIzq76NZJA,750,931,Toe| Grass| Toilet Brush
45,1,OBM1UVnsQQo,79,305,Chicken| Binoculars| Aerodynamics| Bacon| Madagascar| Blasphemy
45,2,OBM1UVnsQQo,441,625,Tyrannosaurus| Snapchat| TikTok
45,3,OBM1UVnsQQo,697,876,Marlboro| Bathroom| Hunger
46,1,KSc0UuBLRhg,75,294, Budussy| Mango| Minecraft
46,2,KSc0UuBLRhg,388,537,Socks| War Zone| Chocolate
46,99,KSc0UuBLRhg,585,696,NordVPN Advertisment
46,3,KSc0UuBLRhg,767,953,Asparagus| Buffalos| USA
47,1,n1K9P5Dtph4,80,308,Bop| Liberty| Green
47,2,n1K9P5Dtph4,503,722,Vigilant| Piano| Catastrophe
47,3,n1K9P5Dtph4,1065,1245,Cat Food| Video Games| Religion
48,1,5yTm4j6KaBQ,117,310,Plant| Hoodie| Mirror
48,2,5yTm4j6KaBQ,380,638,Freestyle| Albania| Smoke| My Girlfriend Thinks I'm An Option| Pickles| McDonald's
48,3,5yTm4j6KaBQ,826,1008,Preach Cuh| Extravagant| Gracioso
49,1,1dfh0G8Ik1c,60,267,Birds| Paper| Dental Floss
49,2,1dfh0G8Ik1c,361,591,Peanut Butter| Legoland| Shit
49,3,1dfh0G8Ik1c,703,861,Zucchini| Piano| Lamp
50,1,-pRhkKkM2Ms,70,308,Bed| Trampoline| Headphones| Microphone
50,2,-pRhkKkM2Ms,396,571,Tacos| Monitor| Coochie
50,3,-pRhkKkM2Ms,692,865,Pasta| Oorah| Crayons| MRE
50,4,-pRhkKkM2Ms,1060,1279,Sushi| Brownies| Softball
50,5,-pRhkKkM2Ms,1348,1586,Yoda| Waterfall| Intersection
50,6,-pRhkKkM2Ms,1695,1930,Icicle| Senseless| Emotional
51,1,mwWw-1t3hyw,115,289,Metaverse| Dashboard| Scissors
51,2,mwWw-1t3hyw,388,598,Calculator| Doughnut| Pencil
51,99,mwWw-1t3hyw,632,740,NordVPN Advertisment
51,3,mwWw-1t3hyw,819,1029,720| Morrison| Glasses
51,4,mwWw-1t3hyw,1108,1283,Gamer| Strawberry Cow| LGBTQ
52,1,3ZhcM7-bh4c,44,279,Acoustic| Acapella| Psychedelics
52,2,3ZhcM7-bh4c,374,600,Obsidian| Complex| Mitochondria| Anime| Lacrosse
52,99,3ZhcM7-bh4c,660,757,Keeps Advertisment
52,3,3ZhcM7-bh4c,865,1073,Preposterous| Poignant| Dubious
52,4,3ZhcM7-bh4c,1170,1351,Pyromaniac| Spherical| Phenomenal
53,1,Js2Q8tJLgig,66,264,Crayon| Alligator| Popsicle| Expeditionary
53,2,Js2Q8tJLgig,342,527,Hypnotize| Waterfall| Candy
53,3,Js2Q8tJLgig,632,780,Harry Potter| Octopus| Jacket
53,4,Js2Q8tJLgig,895,1088,Controller| Pencil| Extravagant
54,1,eX9uZQoXAdY,113,287,Giraffe| Star| Jasmine| Ambulance
54,2,eX9uZQoXAdY,372,561,Kumquat| Sandstone| Leopard
54,99,eX9uZQoXAdY,609,695,Hello Fresh Advertisment
54,3,eX9uZQoXAdY,778,937,Onomatopoeia| Britannica| Jewlery
54,4,eX9uZQoXAdY,1030,1218,The Life of a Broken Guy
55,1,AYc7Q6CSeGE,69,240,Potato| Twitter| Cup
55,2,AYc7Q6CSeGE,332,524,Eiffel Tower| Baguette| Trumpet
55,99,AYc7Q6CSeGE,572,657,NordVPN Advertisment
55,3,AYc7Q6CSeGE,724,917,Monster| Balls| Crystal| Toes
55,4,AYc7Q6CSeGE,972,1181,Fire Truck| Surf| Walmart
101,1,tKXnmUUM-IA,115,323,Goldie Cat| Snow| Monster
101,2,tKXnmUUM-IA,355,432,Rap About Drawings
101,3,tKXnmUUM-IA,484,659,Mechanical| Electrical| Computer
101,4,tKXnmUUM-IA,758,946,Health| Sickness| Faith| Love Yourself
56,1,Djm0fwEX9ls,71,307,Pigeon| Simulator| Radiator
56,2,Djm0fwEX9ls,414,660,Mad| Cash| Story| Constitutional
56,3,Djm0fwEX9ls,795,999,Kanye & Donda| Apple| Kid| Play
56,4,Djm0fwEX9ls,1126,1299,United Kingdom| Sunny| Attack
57,1,UI2qbARbQEw,94,350,Discord| Appointment| Helicopter| Hospital| Piano
57,99,UI2qbARbQEw,416,512,Bespoke Advertisment
57,2,UI2qbARbQEw,636,870,Chair| Pumpkin| Dog| Ambidextrous
57,3,UI2qbARbQEw,993,1185,Emu| Gay & Hetero| Pink| Skateboards
58,1,sfFpAz8ZHVg,78,232,Psychology| Memory| Hippopotamus
58,2,sfFpAz8ZHVg,340,482,Capri Sun| Sonic| Sword
58,3,sfFpAz8ZHVg,559,734,Discombobulated| Adjectives| Journey
59,1,CKnUOb6My5Y,91,231,Puppy| Blue Champagne| Telescope
59,99,CKnUOb6My5Y,283,339,NordVPN Advertisment
59,2,CKnUOb6My5Y,424,610,Phone| Tissue| Banana
59,3,CKnUOb6My5Y,707,907,Dildo| Cookies| Pink
60,1,BbcTwW_aKxI,83,241,Cheese| Glasses| Playstation
60,99,BbcTwW_aKxI,301,380,Keeps Advertisment
60,2,BbcTwW_aKxI,466,625,Pre-workout| Blanket| Melatonin
60,3,BbcTwW_aKxI,732,890,Destiny| Eyeshadow| Clapping
61,1,I0ng6LIjAOg,55,173,Balloons| String| Snow
61,2,I0ng6LIjAOg,267,430,Exquisite| Tree| Popcorn
61,3,I0ng6LIjAOg,529,715,Lettuce| Car| Mississippi
62,1,g25N4i6leas,57,256,Dome| Tapas| Arctic
62,2,g25N4i6leas,362,519,Rendezvous| Photosynthesis| Synchronize
62,3,g25N4i6leas,613,783,Pillow| Cage| Bag
63,1,abuAR-yoWSU,84,204,Keyboard| Glasses| Nails| Microsoft| Africa
63,2,abuAR-yoWSU,390,510,Friend| Underworld| New Generation
63,3,abuAR-yoWSU,702,822,Earphones| Ukraine| Pasta| River
64,1,izM7RQctoPc,79,199,Laptop| Gin| Vogue| Fuck
64,2,izM7RQctoPc,417,537,Phenomenal| Chameleon| JBL
64,3,izM7RQctoPc,622,742,Majestic| Logical| The Throne
65,1,BNC68gQluSE,71,191,Platypus| Cleanser| Eternal
65,99,BNC68gQluSE,393,513,NordVPN Advertisment
65,2,BNC68gQluSE,563,683,Badonkadonk| Daddy| Strawberry
65,3,BNC68gQluSE,831,951,420| Ancient| Telpathic
66,1,TJk3eDFwiaY,66,186,Enthusiastic| Supercalifragilisticexpialidocious| Thermometer
66,2,TJk3eDFwiaY,376,496,Oblivion| Intrigued| Formal
66,3,TJk3eDFwiaY,632,752,Dictionary| Piano| Headset
67,1,FxLKfWt3Kq4,62,182,Compliment| Red| Conclusion
67,99,FxLKfWt3Kq4,333,453,Keeps Advertisment
67,2,FxLKfWt3Kq4,480,600,Lost| Boys| Porn
67,3,FxLKfWt3Kq4,772,892,Dragon| Backpack| Comic Book
68,1,QaRkdWCTKkM,65,185,War Zone| Flip-Flop| Sprite
68,2,QaRkdWCTKkM,361,481,Skill Share Promotion
68,3,QaRkdWCTKkM,497,617,Champagne| Flannel| 2pac
68,4,QaRkdWCTKkM,794,914,Superficial| Detrimental| Psychotheraputic
69,1,O9AxmMO9xKw,74,194,Flabbergasted| Ratatoui| Tweezers
69,2,O9AxmMO9xKw,327,447,Mavericks| Airplanes| Beach
69,3,O9AxmMO9xKw,631,751,Discombobulated| Kleenex| Tekashi 
70,1,AO0yvg0pLiM,66,186,Baseball| New York| Phone| Rendezvous
70,99,AO0yvg0pLiM,229,349,Keeps Advertisment
70,2,AO0yvg0pLiM,492,612,Curtain| Clouds| Dance
70,3,AO0yvg0pLiM,764,884,Biblican| Generic| Titanium| Pineapple
71,1,qQKgwgWzg58,97,217,Bumpy| Kareem| Blue Jacket
71,99,qQKgwgWzg58,342,462,NordVPN Advertisment
71,2,qQKgwgWzg58,504,624,Haunted| Microphone| Angel
71,3,qQKgwgWzg58,775,895,Ambiguous| Recreational| Innovative
72,1,xqCEjV48TWA,91,211,Meniscus| Cardiovascular| Clavicle
72,99,xqCEjV48TWA,369,489,NordVPN Advertisment
