episode,clip_number,youtube_id,start,end,topics
96,1,TFaKz7SQsgg,102,222,Nipple Clamps| Chameleon| Ron Weasley
96,99,TFaKz7SQsgg,322,442,NordVPN Advertisment
96,2,TFaKz7SQsgg,451,571,Rambunctious| Poker| Picture Frame
96,3,TFaKz7SQsgg,747,867,Galactic| Balloons| Rain
97,1,qlfHCE9nl34,80,200,Boayncy| Implosion| Solar System
97,2,qlfHCE9nl34,328,448,Soy Sauce| Military| Picaso
97,3,qlfHCE9nl34,630,750,Animal Shelter
98,1,vL4W6n--r5A,75,195,Electrical| Damage| Spicy
98,2,vL4W6n--r5A,362,482,Cockatiel| Doobie & Ganja| Bus
98,3,vL4W6n--r5A,662,782,Cement Mixer| Lint Roller| Blanket
99,1,-70WqAfeEYE,67,277,intelligent| outgoing| excellent
99,99,-70WqAfeEYE,328,380,NordVPN Advertisment
99,2,-70WqAfeEYE,453,630,cars| family| facial hair
99,3,-70WqAfeEYE,720,940,gymnasium| chemistry| deodorant
100,1,ijVGIcVRIbk,89,262,exotic| sword| exquisite
100,2,ijVGIcVRIbk,365,566,Scat Pack| basket| vibes
100,3,ijVGIcVRIbk,653,859,ventriliquist| cosmetology| planetarium
100,4,ijVGIcVRIbk,1028,1217,loyalty| cheating| love
100,5,ijVGIcVRIbk,1331,1481,Native American heritage| Yana| Wintu| Pit River
100,6,ijVGIcVRIbk,1581,1801,malicious| pencil| micro
100,7,ijVGIcVRIbk,1917,2134,fission| iridocyclitis| visionary| Subaru
100,8,ijVGIcVRIbk,2210,2371,a grizzly bear drinking milk
100,9,ijVGIcVRIbk,2453,2656,unforgettable| crash| Italiano
100,10,ijVGIcVRIbk,2747,2958,ambitious| glamorous| medal
