title,start_time,end_time,url
"Chocolate, Cake Dinosaurs",0:06:27,0:09:02,https://www.youtube.com/watch?v=Ap4dVD_CRm8
Random Beatboxer,0:10:13,0:11:19,https://www.youtube.com/watch?v=Ap4dVD_CRm8
"Genius, Mask, Wood, Van",0:12:41,0:15:32,https://www.youtube.com/watch?v=Ap4dVD_CRm8
"Black, Picture, Camera, Coffee",0:16:42,0:19:34,https://www.youtube.com/watch?v=Ap4dVD_CRm8
"Beatbox, Discord, Drop, Beats, Inward Bass",0:01:29,0:04:38,https://www.youtube.com/watch?v=lt0r0JNDeeo
"Dental Hygienist, Drama, Family",0:07:42,0:09:55,https://www.youtube.com/watch?v=lt0r0JNDeeo
"Scarce, CAPS, Streets",0:11:39,0:15:14,https://www.youtube.com/watch?v=lt0r0JNDeeo
"Monster, Simultaneously, Siren",0:17:57,0:20:29,https://www.youtube.com/watch?v=lt0r0JNDeeo
"Pizza, Labradoodles, Ariana Grande",0:01:10,0:03:49,https://www.youtube.com/watch?v=XTfaaoBRjvs
"Dolphin, Orange, Eyelash",0:05:22,0:07:55,https://www.youtube.com/watch?v=XTfaaoBRjvs
"Call of Duty, PlayStation, Basketball",0:09:03,0:12:22,https://www.youtube.com/watch?v=XTfaaoBRjvs
"Dessert, Dogs, Pillow, Croc, Candles",0:14:10,0:17:19,https://www.youtube.com/watch?v=XTfaaoBRjvs
"Pumpkin, Orange, Pineapple",0:00:55,0:03:12,https://www.youtube.com/watch?v=QwnqI4dyPI8
"Pizza, Can, Trash",0:04:39,0:08:06,https://www.youtube.com/watch?v=QwnqI4dyPI8
Google Draw,0:09:55,0:12:45,https://www.youtube.com/watch?v=QwnqI4dyPI8
"Chains, Happy, Planet",0:14:03,0:17:15,https://www.youtube.com/watch?v=QwnqI4dyPI8
"Light, Reacting to Art",0:01:17,0:03:47,https://www.youtube.com/watch?v=VBBMfHGMs7I
"October, Roses, Wavy",0:05:21,0:07:48,https://www.youtube.com/watch?v=VBBMfHGMs7I
"Hip Hop, Turntables, Cooking",0:09:48,0:12:25,https://www.youtube.com/watch?v=VBBMfHGMs7I
"Yoda, Dark, Streets",0:14:58,0:17:42,https://www.youtube.com/watch?v=VBBMfHGMs7I
"Good Road Trips, Good Views",0:18:55,0:21:27,https://www.youtube.com/watch?v=VBBMfHGMs7I
"Gil, Brothels, Toenail Fungus",0:01:37,0:04:25,https://www.youtube.com/watch?v=EWThDBgYj9U
"Drip, Hippopotamus, Chameleon",0:06:16,0:09:19,https://www.youtube.com/watch?v=EWThDBgYj9U
"Lightbulb, Computer, Eraser",0:11:12,0:13:47,https://www.youtube.com/watch?v=EWThDBgYj9U
"Controller, Universe, Twisted Tea",0:15:37,0:19:04,https://www.youtube.com/watch?v=EWThDBgYj9U
"Guantanamo Bay, Table, Turtle",0:01:58,0:03:52,https://www.youtube.com/watch?v=Tf84L54lSTE
"Dress, Tapestry, Beard",0:05:54,0:08:07,https://www.youtube.com/watch?v=Tf84L54lSTE
Piano,0:09:43,0:11:43,https://www.youtube.com/watch?v=Tf84L54lSTE
"Worldwide, Films, Oscars, L.A.",0:13:32,0:16:29,https://www.youtube.com/watch?v=Tf84L54lSTE
"Crayon, Flag, Red",0:01:58,0:03:38,https://www.youtube.com/watch?v=re1sJCcYZy4
"Date, Alec, Sex",0:05:31,0:08:27,https://www.youtube.com/watch?v=re1sJCcYZy4
"Antibiotics, Metal, Legend, Sacrifice",0:10:49,0:13:55,https://www.youtube.com/watch?v=re1sJCcYZy4
"Frogs, Plants, Clowns",0:15:27,0:17:50,https://www.youtube.com/watch?v=re1sJCcYZy4
"Fish, Toothbrush, Hot Pocket",0:01:57,0:04:58,https://www.youtube.com/watch?v=3Y-0TUj1amk
"Dior, Photograph, England",0:07:58,0:09:46,https://www.youtube.com/watch?v=3Y-0TUj1amk
"Planet, Universe, Soul, Charger",0:11:30,0:14:42,https://www.youtube.com/watch?v=3Y-0TUj1amk
"Constellations, Insomnia, Candles, Polaroid Cameras",0:17:26,0:20:14,https://www.youtube.com/watch?v=3Y-0TUj1amk
Freestyling About the Art,0:21:35,0:23:39,https://www.youtube.com/watch?v=3Y-0TUj1amk
"Highlighter, Plant, Candle",0:00:47,0:03:37,https://www.youtube.com/watch?v=JeRZWJ7NMGU
